id, values
NAIROBI,50
MOMBASA,10
KWALE,20
KILIFI,40
TANA RIVER,50
LAMU,10
TAITA-TAVETA,10
GARISSA,10
WAJIR,10
MANDERA,10
MARSABIT,10
ISIOLO,10
MERU,20
THARAKA-NITHI,20
EMBU,20
KITUI,20
MACHAKOS,20
NYANDARUA,20
NYERI,20
KIRINYAGA,20
MURANG'A,30
KIAMBU,30
TURKANA,30
WEST POKOT,30
SAMBURU,30
UASIN GISHU,30
ELGEYO-MARAKWET,30
NANDI,40
BARINGO,40
LAIKIPIA,40
NAKURU,40
NAROK,40
KAJIADO,40
MAKUENI,20
KERICHO,40
KAKAMEGA,50
VIHIGA,50
BUNGOMA,50
BUSIA,50
SIAYA,50
HOMA BAY,50
MIGORI,50
KISII,50
BOMET,40
NYAMIRA,50
KISUMU,50
TRANS NZOIA,30
