VALUES,DISTNAME
57,NAIROBI
1,MOMBASA
10,KWALE
10,KILIFI
10,TANA RIVER
10,LAMU
10,TAITA-TAVETA
10,GARISSA
10,WAJIR
20,MANDERA
20,MARSABIT
20,ISIOLO
20,MERU
20,THARAKA-NITHI
20,EMBU
20,KITUI
20,MACHAKOS
20,NYANDARUA
20,NYERI
20,KIRINYAGA
30,MURANG'A
30,KIAMBU
30,TURKANA
30,WEST POKOT
30,SAMBURU
30,UASIN GISHU
30,ELGEYO-MARAKWET
40,NANDI
40,BARINGO
40,LAIKIPIA
40,NAKURU
40,NAROK
40,KAJIADO
20,MAKUENI
40,KERICHO
50,KAKAMEGA
40,VIHIGA
40,BUNGOMA
40,BUSIA
50,SIAYA
50,HOMA BAY
50,MIGORI
50,KISII
40,BOMET
50,NYAMIRA
50,KISUMU
30,TRANS NZOIA
